sg_uf,nm_municipio,aa_eleicao,qt_eleitor_apto,qt_eleitor_comp,qt_eleitor_abstencao,pct_eleitor_abstencao
AC,ACRELÂNDIA,2022,9529,7297,2232,0.234232343
AC,ASSIS BRASIL,2022,6388,5018,1370,0.214464621
AC,BRASILÉIA,2022,18230,14567,3663,0.200932529
AC,BUJARI,2022,9941,7525,2416,0.2430339
AC,CAPIXABA,2022,7843,6172,1671,0.213056228
AC,CRUZEIRO DO SUL,2022,59505,46952,12553,0.210957062
AC,EPITACIOLÂNDIA,2022,12531,9952,2579,0.205809592
AC,FEIJÓ,2022,22789,15891,6898,0.302689894
AC,JORDÃO,2022,5594,4145,1449,0.259027529
AC,MANOEL URBANO,2022,7779,5765,2014,0.258902173
AC,MARECHAL THAUMATURGO,2022,11337,8257,3080,0.27167681
AC,MÂNCIO LIMA,2022,13786,10580,3206,0.232554766
AC,PLÁCIDO DE CASTRO,2022,12286,9694,2592,0.210971838
AC,PORTO ACRE,2022,13195,10592,2603,0.197271694
AC,PORTO WALTER,2022,7214,5637,1577,0.218602717
AC,RIO BRANCO,2022,266883,210912,55971,0.209721114
AC,RODRIGUES ALVES,2022,11784,9087,2697,0.228869654
AC,SANTA ROSA DO PURUS,2022,3771,2612,1159,0.307345532
AC,SENA MADUREIRA,2022,30369,22510,7859,0.258783628
AC,SENADOR GUIOMARD,2022,17851,14246,3605,0.201949471
AC,TARAUACÁ,2022,27701,19387,8314,0.300133569
AC,XAPURI,2022,12127,9710,2417,0.199307331
AL,ANADIA,2022,12675,9039,3636,0.286863905
AL,ARAPIRACA,2022,150627,121879,28748,0.190855557
AL,ATALAIA,2022,31344,23655,7689,0.245310107
AL,BARRA DE SANTO ANTÔNIO,2022,12534,9723,2811,0.224269986
AL,BARRA DE SÃO MIGUEL,2022,7332,6137,1195,0.162984179
AL,BATALHA,2022,13071,9937,3134,0.239767424
AL,BELO MONTE,2022,6038,4653,1385,0.22938059
AL,BELÉM,2022,4978,3659,1319,0.26496585
AL,BOCA DA MATA,2022,19605,14195,5410,0.275950013
AL,BRANQUINHA,2022,9101,6369,2732,0.300186793
AL,CACIMBINHAS,2022,8465,6200,2265,0.267572357
AL,CAJUEIRO,2022,14548,10501,4047,0.278182568
AL,CAMPESTRE,2022,5666,4190,1476,0.260501235
AL,CAMPO ALEGRE,2022,25843,18902,6941,0.268583369
AL,CAMPO GRANDE,2022,8956,6885,2071,0.231241626
AL,CANAPI,2022,13660,9695,3965,0.290263543
AL,CAPELA,2022,12940,9932,3008,0.232457496
AL,CARNEIROS,2022,6965,5234,1731,0.248528356
AL,CHÃ PRETA,2022,6097,4617,1480,0.242742332
AL,COITÉ DO NÓIA,2022,8912,6911,2001,0.224528725
AL,COLÔNIA LEOPOLDINA,2022,14861,10828,4033,0.271381468
