sg_uf,cd_cargo,ds_cargo,nr_candidato,nm_candidato,nm_urna_candidato,sg_partido,ds_composicao_coligacao,nr_turno,ds_sit_totalizacao,dt_ult_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,sq_eleicao_divulga,qt_votos_nom_validos,pct
AC,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,287750,0.703002082
AC,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,121566,0.296997918
AL,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,976831,0.586805818
AL,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,687827,0.413194182
AM,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,1004991,0.510995397
AM,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,961741,0.489004603
AP,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,200547,0.513610695
AP,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,189918,0.486389305
BA,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,6097815,0.721221553
BA,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,2357028,0.278778447
CE,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,3807891,0.699675399
CE,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,1634477,0.300324601
DF,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,1041331,0.588114599
DF,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,729295,0.411885401
ES,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,1282145,0.580441865
ES,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,926767,0.419558135
GO,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,2193041,0.587135049
GO,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,1542115,0.412864951
MA,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,31/10/2022 00:28,BR,2.80E+11,Válido,2040602022,2668425,0.711357298
